name;price;expiration
Massive Chair Compact #(72642907);$612.37;5/17/2024
Metal Tuna for Yoyodyne #(61998407);$233.89;4/21/2022
Refined Soft Shirt #(78085128);$213.50;7/2/2022
Wayne Small Violet Keyboard #(45371285);$492.08;3/5/2024
Copper Bacon for Aperture #(62544181);$15.32;9/2/2021
Silk Mouse for MomCorp #(41711882);$325.23;8/11/2020
Lime Tasty Car #(15376281);$730.60;12/7/2025
Soft Cheese for Wonka #(57262118);$981.04;11/24/2021
Refined Metal Ball #(34619568);$442.57;11/1/2020
Soylent Cheese Compact #(16129847);$880.88;4/24/2025
Grey Intelligent Hat #(98533353);$992.63;3/8/2022
Massive Tuna Recycled #(98107996);$846.31;6/21/2026
Cyberdyne Large Green Chips #(70154978);$430.13;1/2/2026
Budget Cotton Computer #(17391344);$393.85;3/21/2024
Ergonomic Cotton Soap #(62333386);$732.59;11/25/2026
Globex Keyboard Heavy Duty #(68844230);$543.75;10/10/2026
Licensed Concrete Fish #(85928556);$342.89;11/17/2022
Frozen Hat for Wonka #(64572311);$975.11;8/4/2021
Weyland Hat Waterproof #(10355105);$657.35;12/20/2020
Weyland Shirt Battery Powered #(20935058);$855.31;10/10/2020
Concrete Fish for Tyrell #(60435148);$818.61;1/17/2026
Hooli Keyboard Compact #(95687740);$811.80;3/22/2021
Yellow Gorgeous Soap #(45709178);$810.60;6/8/2020
Concrete Mouse for Tyrell #(47325159);$904.91;3/31/2023
Small Frozen Chicken #(71698314);$582.55;11/20/2023
Cyberdyne Small Bronze Hat #(44328388);$718.74;11/7/2021
Ergonomic Frozen Soap #(76591339);$347.73;3/9/2021
Bronze Chair for Dharma #(41290068);$915.14;2/18/2025
Fresh Sausages for Nook #(37471564);$133.05;12/26/2020
Tasty Frozen Computer #(99554555);$247.82;8/27/2023
Metal Salad for Wayne #(57545127);$559.21;10/2/2026
Fantastic Cotton Chips #(13986769);$689.58;2/19/2023
Budget Copper Ball #(38532179);$663.95;4/18/2021
Tyrell Fantastic Magenta Shirt #(81852704);$436.21;3/31/2023
Glass Pizza for Yoyodyne #(14697749);$175.54;6/1/2021
Turquoise Small Shirt #(44529436);$931.33;9/6/2026
Massive Bike 2025 Model #(30714772);$80.75;5/23/2023
Generic Bronze Computer #(98302010);$892.44;9/16/2023
Nook Chair Battery Powered #(93586515);$663.10;1/28/2024
Wonka Chair Recycled #(57731834);$641.30;4/3/2022
Wooden Soap for Weyland #(69777046);$398.06;9/25/2022
Weyland Luxury Bronze Shirt #(66453303);$121.05;8/6/2021
BlackMesa Ergonomic Teal Cheese #(17037101);$798.79;6/3/2024
Frozen Sausages for Stark #(77179211);$878.78;11/10/2020
Nook Car Portable #(38804842);$169.68;5/14/2024
Budget Rubber Table #(11967595);$360.22;6/25/2024
Incredible Copper Cheese #(10859382);$519.81;10/5/2026
Wooden Tuna for Yoyodyne #(52711122);$571.06;1/28/2025
Yoyodyne Luxury Green Gloves #(81215413);$30.89;8/1/2022
Glass Chips for Yoyodyne #(74353367);$958.54;1/12/2026
Orange Generic Car #(82086799);$35.84;12/3/2026
Lime Unbranded Shoe #(84103921);$42.06;2/5/2026
Dharma Towels Heavy Duty #(91929705);$940.14;5/1/2021
Soylent Cheese Portable #(62564791);$199.33;11/30/2023
Rustic Metal Fish #(91088640);$936.87;1/23/2020
Orange Licensed Pants #(74415410);$253.54;8/28/2023
Copper Pizza for Globex #(30667996);$561.69;8/13/2020
Frozen Bacon for Aperture #(16394880);$981.66;10/29/2024
Steel Pizza for Stark #(17276391);$577.38;12/29/2023
Refined Silk Bacon #(13744936);$947.07;5/17/2026
Steel Computer for Cyberdyne #(53244625);$807.82;10/26/2021
Wool Pants for Wayne #(65494513);$277.48;12/1/2025
MomCorp Handcrafted Grey Chips #(55475942);$116.64;7/1/2020
Yellow Incredible Chair #(22938151);$394.91;9/21/2026
Violet Handcrafted Computer #(37528432);$31.56;12/12/2022
Concrete Table for BlackMesa #(96654654);$95.75;9/26/2023
Rustic Wooden Gloves #(33306101);$170.14;3/20/2024
Yellow Small Ball #(60472795);$812.41;9/22/2021
Cyberdyne Incredible Grey Towels #(65243467);$788.96;4/9/2022
Green Generic Bacon #(44569713);$290.15;3/5/2022
Initech Tasty Bronze Chips #(73145335);$887.73;3/5/2024
Concrete Hat for Globex #(64910333);$11.33;8/4/2024
Bronze Pizza for Tyrell #(97908418);$657.20;5/31/2020
Budget Rubber Salad #(55157059);$716.31;12/9/2021
Tyrell Fantastic Pink Computer #(76058635);$987.52;6/24/2023
